Feature.ID,kingdom,phylum,class,order,family,genus,species,BS1,BS2,BS3,BW1,BW2,BW3,NuBotR1,NuBotR2,NuBotR3,NuTopR1,NuTopR2,NuTopR3,NyBotR1,NyBotR2,NyBotR3,NyTopR1,NyTopR2,NyTopR3
1a0315918378d29ec9ee533d50018d8c,d__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Planctomycetales,f__Rubinisphaeraceae,g__SH-PL14,,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0
8eaf6306b840a01ea47eeaa24fdcfb12,d__Bacteria,,,,,,,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0
594785b699689a3acbd8d554254fc022,d__Bacteria,p__Firmicutes,c__Limnochordia,o__Limnochordia,f__Limnochordia,g__Hydrogenispora,s__uncultured_bacterium,,,,,,,0,0,0,0,0,0,0,0,8,0,0,0
17898287400fbcb72899b7b525a2393c,d__Bacteria,p__Firmicutes,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,,,,,,,,,0,0,0,10,0,0,0,0,0,0,0,0
4a3b6d4b8cfb82a5138f98a8f09804a4,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Sphaerotilus,s__Sphaerotilus_natans,,,,,,,0,0,0,23,0,0,0,0,0,0,0,0
b359879f24680363f80cf2276f979c89,d__Bacteria,,,,,,,,,,,,,0,0,0,12,0,0,0,0,0,0,0,0
fd40b867b81fb02e51edbc0ca9f97e5f,d__Bacteria,,,,,,,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0
98d408584de2837a3ed3d73ebf2431bd,d__Bacteria,p__Chloroflexi,c__Anaerolineae,o__Anaerolineales,f__Anaerolineaceae,,,,,,,,,0,0,0,0,0,0,0,0,5,0,0,0
ea0c4cbe423eb844f58eb5fe03acbc05,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Legionellales,f__Legionellaceae,g__Legionella,,,,,,,,0,0,0,0,23,0,0,0,0,0,0,0
9ca1aa397bc9a06ccc33b30d7461970d,d__Bacteria,p__Bdellovibrionota,c__Oligoflexia,o__Oligoflexales,f__uncultured,g__uncultured,s__uncultured_bacterium,,,,,,,0,0,0,12,0,0,0,0,0,0,0,0
a42270c01956490b0f1e981d31579ab9,d__Bacteria,,,,,,,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0
8d37c26c02b2a9f7239db055ecf57161,d__Bacteria,p__Bdellovibrionota,c__Oligoflexia,o__Oligoflexales,f__uncultured,g__uncultured,s__uncultured_bacterium,,,,,,,0,0,0,0,0,0,0,0,5,0,0,0
e79c80987d377db3fbebdc1eb69bc875,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Diplorickettsiales,f__Diplorickettsiaceae,g__Aquicella,,,,,,,,0,0,0,12,0,0,0,0,0,0,0,0
4f5baa352de14fb4fdad0511be8ff96b,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Micrococcales,f__Microbacteriaceae,,,,,,,,,1,0,0,13,0,0,0,0,0,0,2,0
650818362076cb1af10e4d3a6f539a4c,d__Bacteria,p__Planctomycetota,c__Phycisphaerae,o__Tepidisphaerales,f__WD2101_soil_group,g__WD2101_soil_group,s__uncultured_bacterium,,,,,,,0,0,0,4,0,0,0,6,0,0,0,0
6dd6bbcb20f246a20f606452fdac9e78,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Verrucomicrobiales,f__Rubritaleaceae,g__Luteolibacter,,,,,,,,0,0,0,0,0,0,0,0,26,0,0,0
6dde24050ce282ee42a6ef4131d679c1,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Verrucomicrobiales,f__Verrucomicrobiaceae,g__Prosthecobacter,,,,,,,,0,0,0,12,0,0,0,0,0,0,0,0
4960368d8d59b0181baa2bb9d7d8f11c,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rickettsiales,f__Mitochondria,g__Mitochondria,s__Pseudogymnoascus_pannorum,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0
f90faef10f6fbe31bc0cd1e5b96902cf,d__Bacteria,,,,,,,,,,,,,0,0,0,0,0,0,0,0,8,0,0,0
768eed302220a2ada691e6d13ba0d3c7,d__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Gemmatales,f__Gemmataceae,g__Fimbriiglobus,s__uncultured_planctomycete,,,,,,,0,18,0,0,0,0,0,0,0,0,0,0
a131a5f05f0233f0f1b6539ee20910ac,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Escherichia-Shigella,,,,,,,,0,0,0,0,10,0,0,0,0,0,0,0
7eb81ccb768153bda23163259237b306,d__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Pirellulales,f__Pirellulaceae,g__Blastopirellula,,,,,,,,0,16,0,0,0,0,0,0,0,0,0,0
888cdc34d926b1653ed8e379db2d488f,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,,,,,,,,,,,0,0,0,0,0,0,0,0,5,0,0,0
ee204ae1865dba392b1491b06850097c,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Piscirickettsiales,f__Piscirickettsiaceae,g__Candidatus_Endoecteinascidia,s__uncultured_bacterium,,,,,,,0,0,0,0,0,10,0,0,0,0,0,0
a6ca6ed0b928d9cdf488201dfbf59394,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Xanthobacteraceae,,,,,,,,,0,0,0,0,0,0,4,19,0,0,0,0
f08466ec4bb866366c0d8566025077ef,d__Bacteria,,,,,,,,,,,,,0,0,0,0,0,0,0,0,26,0,0,0
0188b417006e3c104c08cedb5b594735,d__Bacteria,p__Bdellovibrionota,c__Oligoflexia,o__0319-6G20,f__0319-6G20,g__0319-6G20,,,,,,,,0,0,0,0,0,0,0,0,5,0,0,0
05b499710d5c1f269701e119736e8325,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Cytophagales,f__Microscillaceae,g__uncultured,,,,,,,,0,0,0,0,0,0,0,0,5,0,0,0
f7dafbd2cc6f66f5e6425005fa9f1f30,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Paludibacteraceae,g__Paludibacter,,,,,,,,0,0,0,0,0,10,0,0,0,0,0,0
a015c0bd880ff3beb7b6998da2d9ed92,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Xanthobacteraceae,,,,,,,,,0,16,0,0,0,0,0,0,0,0,0,0
718d4e5fc8658e7086196e21822d83b2,d__Bacteria,,,,,,,,,,,,,0,0,0,0,0,0,0,0,5,0,0,0
8e4474ffbd9aadbb56bbfdf00de645e0,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Arenicellales,f__Arenicellaceae,g__uncultured,s__uncultured_prokaryote,,,,,,,0,0,0,0,0,0,0,0,23,0,0,0
56e8ad26650a6c1b7d23e6a941e3d914,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Micrococcales,f__Microbacteriaceae,,,,,,,,,0,0,0,0,0,0,12,0,0,0,0,0
129a2ab75d71a82cbdc90e246a5a4519,d__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Planctomycetales,f__Rubinisphaeraceae,g__Planctomicrobium,s__uncultured_soil,,,,,,,0,0,0,0,0,0,0,0,5,0,0,0
de95cf3f68432c589f316aafd4447742,d__Bacteria,p__Planctomycetota,c__OM190,o__OM190,f__OM190,g__OM190,s__uncultured_bacterium,,,,,,,0,0,0,0,0,0,0,0,5,0,0,0
0775475a3730bf3775694eba01425660,d__Bacteria,p__SAR324_clade(Marine_group_B),c__SAR324_clade(Marine_group_B),o__SAR324_clade(Marine_group_B),f__SAR324_clade(Marine_group_B),g__SAR324_clade(Marine_group_B),s__uncultured_proteobacterium,,,,,,,0,0,0,0,0,0,0,0,5,0,0,0
2895157398d4e18e5b836dce3af093aa,d__Bacteria,p__Acidobacteriota,c__Subgroup_22,o__Subgroup_22,f__Subgroup_22,g__Subgroup_22,s__uncultured_bacterium,,,,,,,0,0,0,0,0,0,0,10,0,0,0,0
6da265f71cc9c55514a0bcc97d4b045c,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Hydrogenophilaceae,g__Thiobacillus,,,,,,,,22,0,0,0,0,0,0,0,0,0,0,0
2e372d9129424c03453c8cff28caf501,d__Bacteria,p__Firmicutes,c__Negativicutes,o__Veillonellales-Selenomonadales,f__Sporomusaceae,g__Sporomusa,s__uncultured_Sporomusa,,,,,,,0,0,0,0,0,0,0,0,5,0,0,0
ed7f06defb4fd8e0d4f8f13e64b07861,d__Bacteria,p__Bdellovibrionota,c__Oligoflexia,o__0319-6G20,f__0319-6G20,g__0319-6G20,s__uncultured_delta,,,,,,,0,0,0,0,0,0,0,10,0,0,0,0
d6254c578e68858d49d1c3f56a9140a3,d__Bacteria,,,,,,,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0
93e1529827ba5937b6e7606d462014b7,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rickettsiales,f__AB1,g__AB1,,,,,,,,0,0,0,0,0,0,0,12,0,0,0,0
2c74f2ca75107eefb10892b407909d90,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,g__Rhizobium,s__Allorhizobium_vitis,,,,,,,0,0,18,0,0,0,0,0,0,0,0,0
cd2b9849a8b70e58db853c9b53862f19,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rickettsiales,f__Mitochondria,g__Mitochondria,,,,,,,,0,0,0,0,0,0,0,10,0,0,0,0
9e3825376863f330c2cbdc3f3e92dd1f,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Micavibrionales,,,,,,,,,,0,0,0,0,0,0,0,0,8,0,0,0
80b641a444ac21d519229fc12a27a500,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__Terrimonas,,,,,,,,0,0,0,0,0,0,0,10,0,0,0,0
f4f12130c889b27a0f18dbd29287b0a5,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Pedosphaerales,f__Pedosphaeraceae,g__ADurb.Bin063-1,s__uncultured_bacterium,,,,,,,0,0,0,0,0,0,0,12,0,0,0,0
bb9a6eaf14f481e1ba24431bd66c7910,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Corynebacteriales,f__Mycobacteriaceae,g__Mycobacterium,,,,,,,,0,0,0,0,0,0,0,10,0,0,0,0
fbadfbb9488958b571a7b8a06fd774b1,d__Bacteria,p__Sva0485,c__Sva0485,o__Sva0485,f__Sva0485,g__Sva0485,s__uncultured_prokaryote,,,,,,,0,3,0,0,0,0,0,0,0,0,0,0
9ff54e75c56d86192574575f56320fb4,d__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiaceae,g__Clostridium_sensu_stricto_13,,,,,,,,0,0,0,0,0,0,0,0,10,0,0,0
9de2618f0bac632b831e9bc9633a9775,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Sphingobacteriales,f__env.OPS_17,g__env.OPS_17,,,,,,,,0,0,0,0,0,0,0,0,12,0,0,0
8cc3ce2119969136a2a221b19ea08b14,d__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Pirellulales,f__Pirellulaceae,g__Pir4_lineage,s__uncultured_bacterium,,,,,,,0,0,0,0,0,0,0,13,0,0,0,0
bb8be5aaef0943d0addb7802f44eb6c8,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Rhodanobacteraceae,g__Aquimonas,,,,,,,,0,0,0,0,0,16,0,0,0,0,0,0
edc1969ecd6abcfdd2e18451f983bf19,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rickettsiales,f__SM2D12,g__SM2D12,s__uncultured_Alphaproteobacteria,,,,,,,0,0,0,0,0,0,0,0,10,0,0,0
9dc6ce1744063cc0dd3bd18c07eb82b6,d__Bacteria,p__Myxococcota,c__Polyangia,o__Polyangiales,f__Sandaracinaceae,g__Sandaracinus,s__uncultured_bacterium,,,,,,,0,0,0,0,0,0,0,0,8,0,0,0
c136bcae95a4c134b2004ee213546c15,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Pedosphaerales,f__Pedosphaeraceae,g__Pedosphaeraceae,s__uncultured_bacterium,,,,,,,0,0,0,0,0,0,0,0,5,0,0,0
189d2bb0cf12e87fac4859d3b4952403,d__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Pirellulales,f__Pirellulaceae,g__Pirellula,s__uncultured_bacterium,,,,,,,0,0,0,0,0,0,0,0,25,0,0,0
719b776e336ce751a4563f3b7cf4e259,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,,,,,,,,0,93,0,0,0,0,0,0,0,0,0,0
