# Constructed from biom file
#OTU ID	NuBotR1	NuBotR2	NuBotR3	NuTopR1	NuTopR2	NuTopR3	NyBotR1	NyBotR2	NyBotR3	NyTopR1	NyTopR2	NyTopR3
b9f844eac61d7a3750f4d62bc2126f86	221.0	82.0	32.0	101.0	80.0	86.0	34.0	292.0	119.0	177.0	109.0	40.0
b1d3df95e8f4cbfe00fd0cae316eea67	317.0	15.0	0.0	217.0	65.0	201.0	56.0	190.0	19.0	121.0	56.0	63.0
a933c3f078c514c88d6c8adf6335822f	969.0	0.0	0.0	0.0	108.0	20.0	0.0	0.0	8.0	79.0	135.0	0.0
5ab0c879b332b3961bd127f92f4bda8f	0.0	197.0	308.0	0.0	0.0	0.0	0.0	19.0	786.0	0.0	0.0	0.0
cfcd79f6419b58bfcc63218caebcc792	422.0	20.0	20.0	56.0	88.0	103.0	59.0	128.0	19.0	151.0	176.0	60.0
4121e5d6a43ed18483ddda63c129d8a8	39.0	36.0	118.0	68.0	315.0	66.0	155.0	0.0	165.0	0.0	113.0	186.0
f67d1c3ea60d11dff3c1aecbd78adb3d	249.0	130.0	95.0	73.0	60.0	54.0	32.0	175.0	214.0	87.0	57.0	29.0
2a6d03d2321d11c8eaeca4f64987daa1	0.0	150.0	227.0	0.0	0.0	0.0	8.0	24.0	832.0	0.0	0.0	0.0
4b973e4de1ddb22526d2e2340cdde881	323.0	61.0	50.0	190.0	61.0	85.0	72.0	74.0	101.0	102.0	68.0	46.0
89e866adb1ad41707db2ffd03fbf05be	0.0	115.0	353.0	0.0	0.0	0.0	328.0	0.0	326.0	0.0	0.0	111.0
ae8124d90ce295019ec039c871fc5680	91.0	182.0	186.0	36.0	0.0	52.0	0.0	253.0	421.0	0.0	0.0	0.0
35404c1f97cf2b2344f4e77eb07e1b7d	109.0	0.0	0.0	191.0	180.0	255.0	118.0	0.0	0.0	51.0	83.0	214.0
6e1d18ee040cb8a1e12955db94677fa9	0.0	658.0	124.0	0.0	0.0	0.0	17.0	17.0	378.0	0.0	0.0	0.0
21a15da279644c4a0721ca64ffbff9c5	34.0	383.0	78.0	18.0	16.0	22.0	16.0	79.0	499.0	13.0	0.0	0.0
db2500bbf7a4053814cb8217d02e00d4	76.0	298.0	75.0	217.0	28.0	76.0	60.0	113.0	67.0	33.0	12.0	100.0
624c932542f4a20f97f7a7fefaf0c30c	0.0	734.0	62.0	34.0	9.0	16.0	15.0	40.0	242.0	0.0	0.0	0.0
