Feature.ID,BS1,BS2,BS3,BW1,BW2,BW3,kingdom,phylum,class,order,family,genus,species,Consensus
88923a2ad99270cdc57261c2cb5ed691,796,42,107,54,0,0,k__Fungi,p__Basidiomycota,c__Microbotryomycetes,o__Sporidiobolales,f__Sporidiobolaceae,g__Rhodotorula,,0.909
99196c1f9e8b1d206c947a6763f67a2f,546,294,126,0,8,0,k__Fungi,,,,,,,0.714
cea75f2b51d71672d8de4ff11d1d2d7d,0,0,0,180,168,608,Unassigned,,,,,,,0
22902df0b59d1b60482aab1be2913526,257,518,113,0,4,11,k__Fungi,,,,,,,0.6
5b8b2a3cee8faff7f712dc9c0ee03240,0,0,903,0,0,0,Unassigned,,,,,,,0
e9c01e465a63d118ebf4b1953cb893bc,0,0,0,783,69,16,k__Fungi,p__Ascomycota,,,,,,0.714
2320f1d882d7ec4038abe500f5515069,344,70,441,0,2,0,Unassigned,,,,,,,0
f5314e8b78d204935a36be3189160ba5,0,4,0,848,0,5,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Cortinariaceae,g__Cortinarius,s__Cortinarius_sp,0.667
daca72ae222e14171ae0d2ec2a623433,0,0,0,0,374,468,k__Fungi,p__Ascomycota,c__Orbiliomycetes,o__Orbiliales,f__Orbiliaceae,g__Orbiliaceae_gen_Incertae_sedis,s__Orbiliaceae_sp,0.667
a683927cb6e1cb90d01b2e643a001d73,0,0,0,0,5,796,Unassigned,,,,,,,0
d010d9baf921b66f8db25988074e44ac,0,0,0,65,241,479,k__Fungi,p__Ascomycota,c__Orbiliomycetes,o__Orbiliales,f__Orbiliaceae,g__Orbiliaceae_gen_Incertae_sedis,s__Orbiliaceae_sp,0.667
e2deaefac3cfe29fa222732aacefcfa6,0,0,0,0,6,769,k__Fungi,,,,,,,0.667
032a7fc8ed740378e24051f3780d83a8,611,0,142,0,12,0,k__Fungi,p__Basidiomycota,c__Microbotryomycetes,o__Sporidiobolales,f__Sporidiobolaceae,g__Rhodotorula,,0.909
15a3aa5ad550a0ee3df920505e5fbeff,18,0,21,130,447,132,Unassigned,,,,,,,0
2bd4782b00dedba00cbf454f7110241b,0,0,0,36,0,712,k__Fungi,p__Ascomycota,c__Orbiliomycetes,o__Orbiliales,f__Orbiliaceae,g__Orbiliaceae_gen_Incertae_sedis,s__Orbiliaceae_sp,0.667
764e1a76ca005a0c6eabee16ea9fe93b,280,312,107,4,4,4,k__Fungi,,,,,,,0.6
48de7143c45f8b4b46f76abdfbe19333,0,7,0,223,0,438,k__Fungi,,,,,,,0.6
33515b15ec8c3c47a1476f41851c0a25,0,0,0,0,666,0,Unassigned,,,,,,,0
ecfed4ed448c412970e5dfeef71342ff,41,21,14,208,87,256,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Dothideales,f__Saccotheciaceae,g__Aureobasidium,,0.545
e461ae2e72067c17c28d0c9910053fa9,6,5,0,25,8,578,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,,,,0.818
aa824429ee7bc3d244f4ebe345f4aeea,139,160,321,0,0,0,k__Fungi,,,,,,,0.714
6ce7604e712f963bbd0ae0f6b7a3cf5e,102,149,59,28,212,69,k__Fungi,p__Ascomycota,,,,,,0.583
1c7fb11c103dc6ad8d7cdc02103f528e,162,0,0,341,0,96,k__Fungi,p__Ascomycota,,,,,,0.545
56688ae49d3c4dc9a3e8f69c21b8d77c,0,0,0,0,0,597,Unassigned,,,,,,,0
63852a7049358dba65c7415786393307,0,0,0,0,262,334,k__Fungi,,,,,,,0.75
c7fdd4d96720a0cb791d154ca289ead5,0,130,0,62,7,382,k__Fungi,p__Basidiomycota,c__Microbotryomycetes,o__Sporidiobolales,f__Sporidiobolaceae,g__Rhodotorula,,0.727
089f7ac8ea930e1cdc2a56f349424cb5,0,0,0,560,0,0,k__Fungi,,,,,,,0.714
52a21c107edd8df09a971fa76af060bb,31,23,16,153,144,173,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Strophariaceae,g__Hypholoma,,0.75
ba2c9e2d33223cfd72bf6e331771cb2a,0,538,0,0,0,0,Unassigned,,,,,,,0
7e63101f2968ad4a6bd1bb6a422b8eea,0,0,0,517,0,0,Unassigned,,,,,,,0
e0e41308abfca5b6f05817e0cd92dad3,0,0,0,0,0,505,k__Fungi,,,,,,,0.6
9884a78b4a216daa48a5fe83e3120667,25,30,46,79,213,105,k__Fungi,p__Basidiomycota,,,,,,0.556
2f58b7775f6795b26806e13ac7be1e2e,7,0,5,100,117,257,k__Fungi,,,,,,,0.667
2909348242b4ee403fe74b76d78bde87,107,0,0,356,0,0,k__Fungi,p__Ascomycota,,,,,,0.545
e374307272c8eac6df199e8ff8ba5a27,41,183,234,0,0,0,Unassigned,,,,,,,0
b99dea45048517ffb6ea00ac2d28e9c3,0,0,0,97,0,357,k__Fungi,p__Ascomycota,c__Orbiliomycetes,o__Orbiliales,f__Orbiliaceae,g__Orbiliaceae_gen_Incertae_sedis,s__Orbiliaceae_sp,0.667
075b1eb4f5795b1cb172b66c3b3e4bff,0,0,0,0,453,0,Unassigned,,,,,,,0
236916b8bb6b8567e135b1841077052b,31,29,9,110,120,145,k__Fungi,p__Ascomycota,,,,,,0.571
d4bb6c35b1ca85796e957d22c3f0668c,0,0,0,139,305,0,k__Fungi,p__Basidiomycota,,,,,,0.571
3b6ed4fcb1bd4482aa6bf03eab10ee5a,0,0,0,51,0,392,Unassigned,,,,,,,0
33819f69f2933d4f8c6477af59fd34ee,0,0,0,164,89,168,k__Fungi,,,,,,,0.833
714292a42b82f1c935580bd2de56b428,0,0,0,388,3,20,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,s__Mortierella_sp,0.75
d961d947b85d723d8c45ccad5e69996d,0,0,0,90,0,321,k__Fungi,,,,,,,0.667
0530ab8a5fd87177b4fb82917eb6d901,117,225,68,0,0,0,k__Fungi,,,,,,,0.6
7806ee1de81747d0fc5dfa9cc0de3873,65,11,318,0,4,5,k__Fungi,,,,,,,0.6
9edbafbf37ea4c41de14fca8159a006b,0,0,0,324,3,75,k__Fungi,p__Ascomycota,,,,,,0.667
0681422234b2a706a26bfa7219c72af4,0,0,0,217,6,179,k__Fungi,,,,,,,0.6
be2d2ed20f1cd91557118633d748638e,25,27,20,63,138,123,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,,,,0.583
2f1b629f71b5b158e3caf7acf4777362,36,72,278,0,0,0,k__Fungi,,,,,,,0.75
30a1968a197298968148520d74e22388,3,2,373,0,3,0,k__Fungi,,,,,,,0.6
2b83523448ed5efc27c9ab09ea79baf8,83,288,5,0,0,2,k__Fungi,p__Ascomycota,c__Orbiliomycetes,o__Orbiliales,f__Orbiliaceae,g__Orbiliaceae_gen_Incertae_sedis,s__Orbiliaceae_sp,0.667
b2327e7c08f57837f60c670ac5f48588,205,19,144,0,2,3,k__Fungi,,,,,,,0.8
c1ede76836c1a09f52203b29763711d0,0,0,0,369,0,0,k__Fungi,,,,,,,0.75
fac4e3ff623eae5ebacaf738d7c14c3d,63,102,192,0,0,0,k__Fungi,p__Fungi_phy_Incertae_sedis,c__Fungi_cls_Incertae_sedis,o__Fungi_ord_Incertae_sedis,f__Fungi_fam_Incertae_sedis,g__Fungi_gen_Incertae_sedis,s__Fungi_sp,0.636
18f85a03253aa13b7672ceec011f3a1e,0,12,0,0,302,41,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Physalacriaceae,,,0.75
36284495446f73f077c5850559cf2749,0,0,0,340,7,0,k__Fungi,p__Ascomycota,,,,,,0.667
9d7c07ac73f2b711ae176d205552398b,0,0,0,122,0,210,k__Fungi,p__Basidiomycota,,,,,,0.625
09f3eb3a249d450a1dd491ef9d45d053,70,133,121,0,0,0,Unassigned,,,,,,,0
363491ce075f3d5b10201882f95a51d8,0,0,0,88,118,118,k__Fungi,,,,,,,0.667
de298a0b9f4e7dd5458e80265dc77390,80,158,66,10,0,0,k__Fungi,,,,,,,0.8
38f99bd61df17844967d622c832874e5,52,255,2,0,0,0,k__Fungi,,,,,,,0.75
6dcbe429fa5533735a9f12fe080c3c78,0,0,0,210,0,99,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Physalacriaceae,g__Armillaria,s__Armillaria_mellea,0.727
9b61717f2e87698c6a1bd323df55a11e,0,0,0,139,161,0,Unassigned,,,,,,,0
e38cb15c76edc459df4c5d434be7abd2,0,0,0,296,0,0,k__Fungi,p__Ascomycota,c__Orbiliomycetes,o__Orbiliales,f__Orbiliaceae,g__Orbiliaceae_gen_Incertae_sedis,s__Orbiliaceae_sp,0.667
acec5f3ad73541f722fe3297df5b5b64,0,0,0,288,0,0,k__Fungi,,,,,,,0.625
cc621d204383e4553e0301b7c52f7e60,0,0,286,0,0,0,k__Fungi,,,,,,,0.667
d64472d653857a2b5ed347e483edb851,0,0,0,0,286,0,k__Fungi,,,,,,,0.6
f643822fdcadc8b64125e1f00c18af4c,0,0,281,0,0,0,Unassigned,,,,,,,0
256775ccdf4428cf1fc1853e12edaa03,0,0,0,154,126,0,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,g__Cylindrocladiella,,0.75
