Feature ID	Taxon	Consensus
099b6677fc3675ceec62b63cda547968	Unassigned	1.0
09a497507450dd81e6cd48a408a5e733	Bacteria;Bacteria_X;Proteobacteria;Deltaproteobacteria;Bdellovibrionales;Bacteriovoracaceae;Peredibacter;Peredibacter_sp.;	1.0
09b8b2c344068e1d5651457eb4e566a7	Unassigned	1.0
09d3fb0230b592ca5945cc789d077301	Bacteria;Bacteria_X;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Rubritaleaceae;Luteolibacter;Luteolibacter_sp.;	0.8
09ede8790b2b9f26415aba02104ec050	Unassigned	1.0
09f4055349bf0b37eed71a4014354c2e	Bacteria;Bacteria_X;Armatimonadetes;Fimbriimonadia;Fimbriimonadales;Fimbriimonadaceae;Fimbriimonadaceae_X;Fimbriimonadaceae_X_sp.;	1.0
09f875d018fb2d58ea0afd1bc55c0cc6	Bacteria;Bacteria_X;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Rubritaleaceae;Luteolibacter;Luteolibacter_sp.;	0.8
0a15390e9d0b5aa2e0fc99f0b8f7b58d	Unassigned	1.0
0a1b795f778663f7700955bd3109800f	Unassigned	1.0
0a44d281f04cbeb297ea9e6ba177ad1d	Bacteria;Bacteria_X;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Rhodocyclaceae	0.6
0a55d32624f46029cc9dbb9677f364bb	Bacteria;Bacteria_X;Proteobacteria;Gammaproteobacteria;Legionellales;Legionellaceae;Legionella;Legionella_sp.;	1.0
0a5b550947211641b966df0ab693e335	Bacteria;Bacteria_X;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Rhodocyclaceae;Candidatus_Accumulibacter;Candidatus_Accumulibacter_sp.;	0.8
0a6ff74664085acb0a05eb7374cb2932	Unassigned	1.0
0a730ed7bf9629fbf75b119383d5c258	Bacteria;Bacteria_X;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Methylobacterium;Methylobacterium_sp.;	1.0
0a74bcc45476281ef1ca401ac613a267	Bacteria;Bacteria_X;Proteobacteria;Gammaproteobacteria;Salinisphaerales;Solimonadaceae;Nevskia;Nevskia_sp.;	0.8
0a87583c4cf2800e98fb66f62891ef09	Unassigned	1.0
0a99cbbb7bcb60e942125d6ea89e1f54	Bacteria;Bacteria_X;DeinococcusThermus;Deinococci;Deinococcales;Trueperaceae;Truepera;Truepera_sp.;	1.0
0a9d258412fe3892e418915b96fba5e1	Unassigned	1.0
0aa9d1bb7c5a67351b28752c1f0b12cd	Unassigned	1.0
0ab088681838ad77f2ce7cec31fd6080	Bacteria;Bacteria_X;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Polaromonas;Polaromonas_sp.;	0.7
0ac0b18f9995cf18552b82a04038cdab	Bacteria;Bacteria_X;Acidobacteria;Blastocatellia_(Subgroup_4);Blastocatellales;Blastocatellaceae	1.0
0aca1e2b68456cd7ca4ef465f8493a60	Bacteria;Bacteria_X;Chloroflexi;Anaerolineae;SJA15;SJA15_X;SJA15_XX;SJA15_XX_sp.;	0.667
0acb60a2fdfcb80e12450d21df4fa084	Bacteria;Bacteria_X;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;Flavobacterium_sp.;	1.0
0adfe960121c683fcea3db7fad8cdd37	Bacteria;Bacteria_X;Proteobacteria;Alphaproteobacteria;Rhizobiales	1.0
0aeb5a03421ccac771993e3c8d9df3b2	Bacteria;Bacteria_X;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Enterobacter;Enterobacter_sp.;	0.8
0b07eaec9b396a3b1088a1b0719a0347	Bacteria;Bacteria_X;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Serratia;Serratia_sp.;	1.0
0b090a6be9cf8f0a32f7dfa274173bb3	Unassigned	1.0
0b0c3690cccb2ae5cf0c9589d1eb287f	Bacteria;Bacteria_X;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Rhodocyclaceae	0.8
0b0cfb4a34e447794fb4766ba4d986fa	Bacteria;Bacteria_X;Verrucomicrobia;Verrucomicrobiae;Chthoniobacterales;Chthoniobacteraceae;Candidatus_Udaeobacter;Candidatus_Udaeobacter_sp.;	1.0
0b2806e577bc331732c3888ca0da11f6	Unassigned	1.0
0b373595800b2c0c5f5608db2fb1f103	Unassigned	1.0
0b4daf6514995c794c761025e3c458c8	Unassigned	1.0
0b6df05fe7e83f2e979c2aeb45e34e29	Bacteria;Bacteria_X;Proteobacteria;Deltaproteobacteria;Myxococcales;Archangiaceae;Archangium;Archangium_sp.;	0.7
0b8aeed87e060ae873cd27edad362eaa	Bacteria;Bacteria_X;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;Anaerolineaceae_X;Anaerolineaceae_X_sp.;	0.571
0b8d842df0eec53782874e352124f419	Unassigned	1.0
0babfba2f3a920ca9d805e72b02e7030	Unassigned	1.0
0bcc65748291ffa8840e6e13f3447630	Bacteria;Bacteria_X;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae	1.0
0bef6872c63f8445ab8edd3aa7409af0	Unassigned	1.0
0bf5965becc2c0b8c06ba9d2b4967571	Bacteria;Bacteria_X;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Rubritaleaceae;Luteolibacter;Luteolibacter_sp.;	0.8
0c1f5a449b9cb9cb4d4214835db51f1b	Bacteria;Bacteria_X;Proteobacteria;Deltaproteobacteria;Bdellovibrionales;Bdellovibrionaceae;Bdellovibrio;Bdellovibrio_sp.;	1.0
0c3691d7e71f828ca0241b3ba2de6e7c	Unassigned	1.0
0c3cd352a5ab6951d08af8c8f307b33c	Bacteria;Bacteria_X;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Rubritaleaceae;Luteolibacter;Luteolibacter_sp.;	1.0
0c463540505527fdc4228957d5151e4f	Unassigned	1.0
0c6fb36c2d28ebc9eab6a9dd53e679c5	Bacteria;Bacteria_X;Proteobacteria;Gammaproteobacteria	1.0
0c7cccf41bbe3a225da071819b23da3a	Bacteria;Bacteria_X;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae	1.0
0c90be8bc61bf5ef9eb641c5a04d0474	Unassigned	1.0
0c9ed2ee14545984511db750e62c89ba	Unassigned	1.0
0cd37bc363fb690d949ea9527ba76d40	Unassigned	1.0
0d0903121eecc41c617dd2746edc271c	Bacteria;Bacteria_X;Proteobacteria;Alphaproteobacteria;Rhizobiales	1.0
0d0d524be86531efb93c863c8a45d49b	Bacteria;Bacteria_X;Patescibacteria;Microgenomatia;Candidatus_Woesebacteria;Candidatus_Woesebacteria_X;Candidatus_Woesebacteria_XX;Candidatus_Woesebacteria_XX_sp.;	1.0
0d25ad0054d4d5a428a44bb52ddaa1be	Unassigned	1.0
0d2d1ae97213c5b90ccdb96efdb3cada	Unassigned	1.0
0d3a649683589412865b2ce45c0f06ca	Unassigned	1.0
0d442eb9371edeaffa69eef7affa3040	Unassigned	1.0
0d48ec54c715b176694d69d11318f1bf	Bacteria;Bacteria_X;Planctomycetes;Planctomycetacia;Planctomycetales;Rubinisphaeraceae;Rubinisphaeraceae_X;Rubinisphaeraceae_X_sp.;	1.0
0d4a53f2dee8f4653d19552b3f9809fa	Bacteria;Bacteria_X;Planctomycetes;Planctomycetacia;Pirellulales;Pirellulaceae;Roseimaritima;Roseimaritima_sp.;	1.0
