Feature.ID,kingdom,phylum,class,order,family,genus,species,BS1,BS2,BS3,BW1,BW2,BW3,NuBotR1,NuBotR2,NuBotR3,NuTopR1,NuTopR2,NuTopR3,NyBotR1,NyBotR2,NyBotR3,NyTopR1,NyTopR2,NyTopR3
281ff5f6af174cf2401474ce34441b9e,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Salinisphaerales,f__Solimonadaceae,g__Nevskia,"",0,0,3,0,0,0,,,,,,,,,,,,
c58ee6eb93e0dd19c081ad1291061db5,d__Bacteria,p__Patescibacteria,c__Parcubacteria,o__Candidatus_Kaiserbacteria,f__Candidatus_Kaiserbacteria,g__Candidatus_Kaiserbacteria,"",0,0,0,0,12,0,,,,,,,,,,,,
e3a7581d647d8ea3ce17c9b8f7a7db00,d__Bacteria,p__Gemmatimonadota,c__Gemmatimonadetes,o__Gemmatimonadales,f__Gemmatimonadaceae,g__uncultured,"",0,0,46,0,0,0,,,,,,,,,,,,
7a3120b453e96caf1a1e47ea48aa5f72,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__PeM15,f__PeM15,g__PeM15,s__uncultured_soil,500,231,568,0,0,0,,,,,,,,,,,,
de4c8f59c9c37b7b6e73149398d53aea,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Catellicoccaceae,g__Catellicoccus,s__uncultured_bacterium,0,27,0,0,0,0,,,,,,,,,,,,
24bf314159dae68748c5fcf1964b8e5c,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rickettsiales,f__SM2D12,g__SM2D12,s__metagenome,43,178,0,0,0,0,,,,,,,,,,,,
b4bc7bec996fd76ef7e4ca936c89a29c,d__Bacteria,p__SAR324_clade(Marine_group_B),c__SAR324_clade(Marine_group_B),o__SAR324_clade(Marine_group_B),f__SAR324_clade(Marine_group_B),g__SAR324_clade(Marine_group_B),s__uncultured_bacterium,0,0,3,0,0,0,,,,,,,,,,,,
e6a99b5dd8ae01fb5d357383113e1cf0,d__Bacteria,p__Bdellovibrionota,c__Bdellovibrionia,o__Bacteriovoracales,f__Bacteriovoracaceae,g__Peredibacter,"",0,0,0,0,12,0,,,,,,,,,,,,
1161ce304bbe2372ee26ef6c71e0e0f5,d__Archaea,"","","","","","",0,0,0,0,25,21,,,,,,,,,,,,
15d33303de8a2df0d68b1f0c198e38e4,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Cytophagales,f__Spirosomaceae,g__Lacihabitans,s__uncultured_bacterium,32,70,167,371,383,276,,,,,,,,,,,,
01ed1c00188b176bcfb06c1373c6ec0c,d__Bacteria,p__Myxococcota,c__Polyangia,o__Polyangiales,f__Polyangiaceae,g__Pajaroellobacter,"",0,27,0,0,0,0,,,,,,,,,,,,
